specimen,load_kN,Ubar,Diagn,VSt1,VSt2,HDiagn,VDiagn,HUbar,HStack,St1,St1St2,VStack
NS-REF,11.1115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NS-REF,11.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NS-REF,11.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NS-REF,11.2371,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NS-REF,11.2649,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NS-REF,11.2872,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NS-REF,11.3228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NS-REF,11.3611,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NS-REF,11.4066,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NS-REF,11.4132,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NS-REF,11.4639,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NS-REF,11.5160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NS-REF,11.5476,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NS-REF,11.5861,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NS-REF,11.6420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NS-REF,11.6848,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NS-REF,11.7296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NS-REF,11.7952,0.0000,0.0000,0.0154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0154,0.0154,0.0154
NS-REF,11.8414,0.0000,0.0000,0.0154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0154,0.0154,0.0154
NS-REF,11.8505,0.0000,0.0000,0.0154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0154,0.0154,0.0154
NS-REF,11.8832,0.0000,0.0000,0.0154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0154,0.0154,0.0154
NS-REF,11.9396,0.0000,0.0000,0.0154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0154,0.0154,0.0154
NS-REF,11.9671,0.0000,0.0000,0.0154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0154,0.0154,0.0154
NS-REF,12.0089,0.0000,0.0000,0.0154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0154,0.0154,0.0154
NS-REF,12.0418,0.0000,0.0000,0.0154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0154,0.0154,0.0154
NS-REF,11.3427,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NS-REF,11.3392,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NS-REF,11.3444,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
